text,text_with_ruby,author,source,mora_count,is_575,season,confidence,has_moon,has_autumn
世の人の見付ぬ花や軒の栗,世《よ》の人《ひと》の見付《みつけ》ぬ花や軒の栗,松尾芭蕉,俳句集（芭蕉翁古池真伝）,17,True,秋,0.9,False,True
六櫻より松は二木を三月越,六櫻より松は二木《ふたき》を三月越《みつきごし》,松尾芭蕉,俳句集（芭蕉翁古池真伝）,18,False,秋,0.7,True,True
あつみ山や吹浦かけて夕すゞみ,あつみ山や吹浦《ふくうら》かけて夕《ゆふ》すゞみ,松尾芭蕉,俳句集（芭蕉翁古池真伝）,17,True,,0.8,False,False
汐越や鶴はぎぬれて海凉し,汐越や鶴はぎぬれて海凉し,松尾芭蕉,俳句集（芭蕉翁古池真伝）,17,True,,0.9,False,False
塚も動け我泣聲は秋の風,塚も動け我《わが》泣《なく》聲は秋の風,松尾芭蕉,俳句集（芭蕉翁古池真伝）,18,False,秋,0.7,False,True
秋凉し手毎にむけや瓜茄子,秋凉し手毎《てごと》にむけや瓜茄子,松尾芭蕉,俳句集（芭蕉翁古池真伝）,18,False,秋,0.7,False,True
月をたれたる汐越の松西行,月をたれたる汐越の松西行,松尾芭蕉,俳句集（芭蕉翁古池真伝）,18,False,秋,0.7,True,True
寂しさや須广にかちたる濱の秋,寂しさや須广にかちたる濱の秋,松尾芭蕉,俳句集（芭蕉翁古池真伝）,19,False,秋,0.6,False,True
浪の間や小貝にまじる萩の塵,浪の間《ま》や小貝にまじる萩《はぎ》の塵《ちり》,松尾芭蕉,俳句集（芭蕉翁古池真伝）,18,False,秋,0.7,False,True
月ぞしるべこなたへ入らせ旅の宿,月ぞしるべこなたへ入らせ旅の宿,松尾芭蕉,俳句集（芭蕉翁古池真伝）,19,False,秋,0.6,True,True
枯枝に烏のとまりたるや秋の暮,枯枝に烏のとまりたるや秋の暮,松尾芭蕉,俳句集（芭蕉翁古池真伝）,19,False,秋,0.6,False,True
山路きて何やらゆかし菫草,山路きて何やらゆかし菫草,松尾芭蕉,俳句集（芭蕉翁古池真伝）,17,True,,0.8,False,False
此の道や行く人なしに秋の暮,此の道や行く人なしに秋の暮,松尾芭蕉,俳句集（芭蕉翁古池真伝）,19,False,秋,0.6,False,True
此の秋は何で年よる雲に鳥,此の秋は何で年よる雲に鳥,松尾芭蕉,俳句集（芭蕉翁古池真伝）,18,False,秋,0.7,False,True
一枝やたましひかへす梅の花,一枝やたましひかへす梅の花,正岡子規,寒山落木 巻一,17,True,春,0.9,False,False
それそれに名のつく菊の芽生哉,それそれに名のつく菊の芽生哉,正岡子規,寒山落木 巻一,17,True,,0.8,False,False
散る梅は祗王櫻はほとけ哉,散る梅は祗王櫻はほとけ哉,正岡子規,寒山落木 巻一,18,False,春,0.7,False,False
凩に舞ひあがりたる落葉哉,凩に舞ひあがりたる落葉哉,正岡子規,寒山落木 巻一,17,True,,0.8,False,False
招く手はなけれど淋し枯薄,招く手はなけれど淋し枯薄,正岡子規,寒山落木 巻一,17,True,冬,0.9,False,False
いぶかしや賤が伏家の冬牡丹,いぶかしや賤が伏家の冬牡丹,正岡子規,寒山落木 巻一,19,False,冬,0.6,False,False
闇の夜は鼻で探るや梅の花,闇の夜は鼻で探るや梅の花,正岡子規,寒山落木 巻一,18,False,春,0.7,False,False
冬枯の中に家居や村一つ,冬枯の中に家居や村一つ,正岡子規,寒山落木 巻一,18,False,冬,0.7999999999999999,False,False
雪のある山も見えけり上り阪,雪のある山も見えけり上り阪,正岡子規,寒山落木 巻一,18,False,冬,0.7,False,False
祗園清水冬枯もなし東山,祗園清水冬枯もなし東山,正岡子規,寒山落木 巻一,19,False,冬,0.6,False,False
あたたかな雨がふるなり枯葎,あたたかな雨がふるなり枯葎,正岡子規,寒山落木 巻一,15,False,冬,0.6,False,False
春の月一重の雲にかくれけり,春の月一重の雲にかくれけり,正岡子規,寒山落木 巻一,18,False,春,0.7999999999999999,True,False
夕月や簾に動く花の影,夕月や簾に動く花の影,正岡子規,寒山落木 巻一,16,False,秋,0.7,True,True
家根舟の提灯多し朧月,家根舟の提灯多し朧月,正岡子規,寒山落木 巻一,18,False,秋,0.7,True,True
我宿にはいりさう也昇る月,我宿にはいりさう也昇る月,正岡子規,寒山落木 巻一,17,True,秋,0.9,True,True
道づれは胡蝶をたのむ旅路哉,道づれは胡蝶をたのむ旅路哉,正岡子規,寒山落木 巻一,19,False,春,0.6,False,False
山は萌黄淺黄やほとゝきす,山は萌黄淺黄やほとゝきす,正岡子規,寒山落木 巻一,16,False,,0.6,False,False
【梦中清水といふ題を得て】,【梦中清水といふ題を得て】,正岡子規,寒山落木 巻一,17,True,,0.8,False,False
夕立の過ぎて跡なき清水哉,夕立の過ぎて跡なき清水哉,正岡子規,寒山落木 巻一,19,False,夏,0.6,False,False
ふつくりと七面鳥のたつや秋,ふつくりと七面鳥のたつや秋,正岡子規,寒山落木 巻一,17,True,秋,0.9,False,True
鷄のゆかへ上りぬ秋のくれ,鷄のゆかへ上りぬ秋のくれ,正岡子規,寒山落木 巻一,15,False,秋,0.7,False,True
床の間の達磨にらむや秋のくれ,床の間の達磨にらむや秋のくれ,正岡子規,寒山落木 巻一,19,False,秋,0.7,False,True
何と見たぬしの心ぞあきのくれ,何と見たぬしの心ぞあきのくれ,正岡子規,寒山落木 巻一,17,True,,0.9,False,False
草も木も竹も動くやけさの秋,草も木も竹も動くやけさの秋,正岡子規,寒山落木 巻一,18,False,秋,0.7,False,True
初汐や帆柱ならぶ垣の外,初汐や帆柱ならぶ垣の外,正岡子規,寒山落木 巻一,17,True,,0.8,False,False
蒔繪なんぞ小窓の月に雁薄,蒔繪なんぞ小窓の月に雁薄,正岡子規,寒山落木 巻一,19,False,秋,0.6,True,True
順禮の夢をひやすや松の露,順禮の夢をひやすや松の露,正岡子規,寒山落木 巻一,17,True,秋,0.9,False,True
これ見たか秋に追はるゝうしろ影,これ見たか秋に追はるゝうしろ影,正岡子規,寒山落木 巻一,18,False,秋,0.7,False,True
秋風や伊豫へ流るゝ汐の音,秋風や伊豫へ流るゝ汐の音,正岡子規,寒山落木 巻一,18,False,秋,0.7,False,True
ゆら／＼と廻廊浮くや秋の汐,ゆら／＼と廻廊浮くや秋の汐,正岡子規,寒山落木 巻一,16,False,秋,0.7,False,True
松山や秋より高き天主閣,松山や秋より高き天主閣,正岡子規,寒山落木 巻一,18,False,秋,0.7,False,True
頭上の岩をめぐるや秋の雲,頭上の岩をめぐるや秋の雲,正岡子規,寒山落木 巻一,17,True,秋,0.9,False,True
名月や叩かば散らん萩の門,名月や叩かば散らん萩の門,正岡子規,寒山落木 巻一,18,False,秋,0.7,True,True
鶴一つ立つたる秋の姿哉,鶴一つ立つたる秋の姿哉,正岡子規,寒山落木 巻一,17,True,秋,0.9,False,True
